,life_stage,case,session,plankton,x_(mm),y_(mm),z_(mm),ds_(mm),dv_(mm/s),angle_(deg)
189,naupliar,withFood,trj_naupwF5_1,1,-6.9207,24.9862,14.1409,0.0206651881191534,0.6199556435746042,110.09959757528058
190,naupliar,withFood,trj_naupwF5_1,1,-6.9635,24.8953,14.173,0.1054753999755402,3.1642619992662087,172.66863725745935
191,naupliar,withFood,trj_naupwF5_1,1,-6.835,25.097,14.0849,0.2548661413369792,7.645984240109376,7.525647511840864
192,naupliar,withFood,trj_naupwF5_1,1,-6.6929,25.2714,14.0197,0.2342195764661856,7.02658729398557,56.24994512733995
193,naupliar,withFood,trj_naupwF5_1,1,-6.6661,25.2836,14.0397,0.0355960671984977,1.0678820159549325,41.10959174108123
194,naupliar,withFood,trj_naupwF5_1,1,-6.5491,25.3667,14.0256,0.1441992371685795,4.325977115057388,0.0685977275992062
195,naupliar,withFood,trj_naupwF5_1,1,-6.432,25.4497,14.0116,0.1442130715295937,4.326392145887812,39.88090214687271
196,naupliar,withFood,trj_naupwF5_1,1,-6.4248,25.4566,14.0182,0.0119586788567982,0.3587603657039463,88.50163268741935
197,naupliar,withFood,trj_naupwF5_1,1,-6.3988,25.4386,14.0102,0.0326190128606013,0.9785703858180396,72.87592031840566
198,naupliar,withFood,trj_naupwF5_1,1,-6.226,25.6017,13.8789,0.2714795388238306,8.144386164714918,112.83900221344012
199,naupliar,withFood,trj_naupwF5_1,1,-6.2031,25.5778,13.9247,0.056508937346229,1.6952681203868705,68.90818265839019
200,naupliar,withFood,trj_naupwF5_1,1,-6.1471,25.5814,13.9235,0.0561284241717153,1.683852725151459,48.75786495446902
201,naupliar,withFood,trj_naupwF5_1,1,-5.9876,25.7081,13.7637,0.2588999420625681,7.766998261877044,170.5845498573733
202,naupliar,withFood,trj_naupwF5_1,1,-6.0213,25.6815,13.8106,0.0635834884227046,1.9075046526811392,162.1608502968936
203,naupliar,withFood,trj_naupwF5_1,1,-5.9212,25.7242,13.7377,0.1309874421461849,3.929623264385548,24.57441780663106
204,naupliar,withFood,trj_naupwF5_1,1,-5.7578,25.8185,13.7042,0.1916097596679255,5.748292790037765,162.18958455034658
205,naupliar,withFood,trj_naupwF5_1,1,-5.7963,25.7762,13.7188,0.0590313476044725,1.770940428134176,166.4792190141994
206,naupliar,withFood,trj_naupwF5_1,1,-5.6443,25.8794,13.6821,0.1873529556745768,5.620588670237306,15.28859978936979
207,naupliar,withFood,trj_naupwF5_1,1,-5.5005,25.9423,13.6161,0.1702669962147689,5.108009886443068,148.85857297280205
208,naupliar,withFood,trj_naupwF5_1,1,-5.54,25.8798,13.651,0.081758852731677,2.4527655819503105,166.8632315917369
209,naupliar,withFood,trj_naupwF5_1,1,-5.4312,26.0155,13.6089,0.1789534576363364,5.3686037290900925,0.0208634010229508
210,naupliar,withFood,trj_naupwF5_1,1,-5.3224,26.1513,13.5668,0.1790292992780784,5.370878978342354,140.54606892601237
